(2414, 1287)
(1711, 953)
(1673, 990)
(2378, 829)
(2010, 921)
(1467, 1062)
(1162, 1221)
(1466, 1166)
(2726, 1317)
(1317, 929)
(1232, 1539)
(1023, 1183)
(2768, 1130)
(2083, 1488)
(2966, 1141)
(1079, 916)
(1570, 1087)
(2198, 1229)
(1049, 1248)
(2421, 991)
(2410, 1553)
(1872, 1278)
(1294, 971)
(2048, 1039)
(1926, 957)
(1664, 1390)
(2459, 1073)
(2470, 1097)
(1424, 996)
(1996, 1093)
(2680, 1021)
(1396, 1159)
(2254, 1359)
(2953, 1093)
(2114, 1179)
(1101, 745)
(2633, 1098)
(1374, 1252)
(1041, 989)
(2437, 1597)
(2604, 1127)
(2842, 1263)
(2433, 1028)
(2412, 953)
(1040, 1044)
(1655, 990)
(2212, 1086)
(1873, 1290)
(1770, 1067)
(2010, 1071)
(2414, 1287)
(1711, 991)
(1673, 1013)
(2378, 829)
(2010, 921)
(1467, 1064)
(1162, 1198)
(1466, 1191)
(2726, 1317)
(1317, 931)
(1232, 1490)
(1023, 1180)
(2768, 1130)
(2083, 1488)
(2966, 1141)
(1079, 908)
(1570, 1067)
(2198, 1229)
(1049, 1310)
(2421, 991)
(2410, 1553)
(1872, 1282)
(1294, 992)
(2048, 1039)
(1926, 971)
(1664, 1404)
(2459, 1073)
(2470, 1097)
(1424, 1015)
(1996, 1093)
(2680, 1021)
(1396, 1159)
(2254, 1359)
(2953, 1093)
(2114, 1179)
(1101, 721)
(2633, 1098)
(1374, 1251)
(1041, 980)
(2437, 1597)
(2604, 1127)
(2842, 1263)
(2433, 1028)
(2412, 953)
(1040, 1016)
(1655, 959)
(2212, 1086)
(1873, 1290)
(1770, 1093)
(2010, 1071)
